2015-10-06T14:04:04.192+0200 I NETWORK  [conn69] end connection 127.0.0.1:60478 (6 connections now open)
2015-10-06T14:08:15.788+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60503 #70 (6 connections now open)
2015-10-06T14:08:15.803+0200 I NETWORK  [conn70] end connection 127.0.0.1:60503 (5 connections now open)
2015-10-06T14:08:15.809+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60504 #71 (6 connections now open)
2015-10-06T14:08:15.809+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60505 #72 (7 connections now open)
2015-10-06T14:08:15.810+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60506 #73 (8 connections now open)
2015-10-06T14:08:15.810+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60507 #74 (9 connections now open)
2015-10-06T14:08:15.812+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60508 #75 (10 connections now open)
2015-10-06T14:08:15.825+0200 I NETWORK  [conn71] end connection 127.0.0.1:60504 (9 connections now open)
2015-10-06T14:08:15.825+0200 I NETWORK  [conn72] end connection 127.0.0.1:60505 (9 connections now open)
2015-10-06T14:08:15.825+0200 I NETWORK  [conn73] end connection 127.0.0.1:60506 (7 connections now open)
2015-10-06T14:08:15.825+0200 I NETWORK  [conn74] end connection 127.0.0.1:60507 (6 connections now open)
2015-10-06T14:08:15.825+0200 I NETWORK  [conn75] end connection 127.0.0.1:60508 (6 connections now open)
2015-10-06T14:08:20.280+0200 I NETWORK  [conn25] end connection 127.0.0.1:60430 (4 connections now open)
2015-10-06T14:08:20.280+0200 I NETWORK  [conn23] end connection 127.0.0.1:60428 (4 connections now open)
2015-10-06T14:08:20.280+0200 I NETWORK  [conn26] end connection 127.0.0.1:60431 (4 connections now open)
2015-10-06T14:08:20.280+0200 I NETWORK  [conn24] end connection 127.0.0.1:60429 (4 connections now open)
2015-10-06T14:08:20.280+0200 I NETWORK  [conn27] end connection 127.0.0.1:60432 (4 connections now open)
2015-10-06T14:08:20.937+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60510 #76 (1 connection now open)
2015-10-06T14:08:20.937+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60511 #77 (2 connections now open)
2015-10-06T14:08:20.937+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60512 #78 (3 connections now open)
2015-10-06T14:08:20.938+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60513 #79 (4 connections now open)
2015-10-06T14:08:20.938+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60514 #80 (5 connections now open)
2015-10-06T14:30:00.909+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60586 #81 (6 connections now open)
2015-10-06T14:30:00.930+0200 I NETWORK  [conn81] end connection 127.0.0.1:60586 (5 connections now open)
2015-10-06T14:30:00.937+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60587 #82 (6 connections now open)
2015-10-06T14:30:00.939+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60588 #83 (7 connections now open)
2015-10-06T14:30:00.939+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60589 #84 (8 connections now open)
2015-10-06T14:30:00.939+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60590 #85 (9 connections now open)
2015-10-06T14:30:00.941+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60591 #86 (10 connections now open)
2015-10-06T14:30:00.961+0200 I NETWORK  [conn82] end connection 127.0.0.1:60587 (9 connections now open)
2015-10-06T14:30:00.961+0200 I NETWORK  [conn83] end connection 127.0.0.1:60588 (9 connections now open)
2015-10-06T14:30:00.961+0200 I NETWORK  [conn84] end connection 127.0.0.1:60589 (9 connections now open)
2015-10-06T14:30:00.961+0200 I NETWORK  [conn85] end connection 127.0.0.1:60590 (6 connections now open)
2015-10-06T14:30:00.961+0200 I NETWORK  [conn86] end connection 127.0.0.1:60591 (6 connections now open)
2015-10-06T14:30:11.045+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60592 #87 (6 connections now open)
2015-10-06T14:30:11.061+0200 I NETWORK  [conn87] end connection 127.0.0.1:60592 (5 connections now open)
2015-10-06T14:30:11.067+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60593 #88 (6 connections now open)
2015-10-06T14:30:11.068+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60594 #89 (7 connections now open)
2015-10-06T14:30:11.069+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60595 #90 (8 connections now open)
